usage_id	host_ip	proxy	domain	"time"
195	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-16 09:23:04.128546
196	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-16 09:27:25.943855
197	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-16 09:35:13.916935
198	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-16 09:43:32.154336
199	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-16 13:17:52.431348
200	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-16 13:19:39.525292
201	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-16 13:21:21.054797
202	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:09:24.556296
203	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:12:18.685374
204	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:12:46.210714
205	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:17:47.802285
206	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:18:20.974877
207	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:19:12.421012
208	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:24:53.69709
209	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:25:12.920053
210	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:31:46.186013
211	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:35:58.563624
212	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:37:27.227144
213	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:40:57.271203
214	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:44:06.332881
215	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:45:45.249344
216	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 14:47:10.837196
217	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:00:04.815395
218	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:00:20.091394
219	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:03:03.91015
220	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:04:20.95166
221	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:07:03.876086
222	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:07:44.757546
223	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:10:58.437726
224	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:12:45.688762
225	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:13:17.298259
226	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:13:58.205282
227	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:14:08.817871
228	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:14:24.346471
229	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:26:03.931572
230	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-16 15:26:27.535386
231		61.180.241.48		2007-11-17 00:36:41.816457
232		61.180.241.48		2007-11-17 00:40:51.71256
233		61.180.241.48		2007-11-17 00:50:22.976418
234		65.55.209.102		2007-11-18 15:04:24.653184
235		203.187.121.82		2007-11-18 22:01:54.868713
236		65.55.209.98		2007-11-19 03:54:19.170364
237		65.55.209.97		2007-11-19 08:49:28.75245
238	158.119.30.114	158.119.60.180	158.119.30.114	2007-11-19 09:51:15.273346
239	158.119.178.76	158.119.60.180	158.119.178.76	2007-11-19 13:22:25.423201
240		65.55.209.99		2007-11-19 20:20:20.403963
241	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-20 14:20:46.833713
242	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-20 14:25:04.458368
243	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-20 15:03:42.456742
244		65.55.209.102		2007-11-20 19:12:06.742899
245	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-21 08:24:22.787287
246	195.104.234.60	194.176.105.43	195.104.234.60	2007-11-21 13:25:18.488129
247	195.104.234.60	194.176.105.44	195.104.234.60	2007-11-21 13:33:00.946776
248		65.55.209.99		2007-11-21 22:17:42.522573
249	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-22 10:18:03.254455
250	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-22 10:18:58.04643
251		58.37.75.242		2007-11-22 12:24:53.350036
252		58.37.75.242		2007-11-22 12:27:25.661059
253		58.37.75.242		2007-11-22 12:28:41.374308
254		58.37.75.242		2007-11-22 12:30:48.542395
255	10.21.102.49	193.164.0.53	10.21.102.49	2007-11-23 10:25:34.327731
256		58.37.78.211		2007-11-23 11:41:59.102025
257		58.37.78.211		2007-11-23 11:47:19.771874
258	10.21.102.49	193.164.0.53	10.21.102.49	2007-11-24 11:43:08.098804
259	10.21.102.49	193.164.0.53	10.21.102.49	2007-11-24 13:29:18.166772
260	10.21.102.49	193.164.0.53	10.21.102.49	2007-11-24 13:32:03.291569
261	10.21.102.49	193.164.0.53	10.21.102.49	2007-11-24 13:35:09.56475
262		65.55.209.97		2007-11-26 12:47:10.778469
263		65.115.64.62		2007-11-26 17:45:26.776774
264		65.115.64.62		2007-11-26 17:47:03.949563
265		65.115.64.62		2007-11-26 17:48:03.177931
266		65.115.64.62		2007-11-26 17:48:52.67685
267		65.115.64.62		2007-11-26 17:50:06.188394
268		65.115.64.62		2007-11-26 17:50:40.501258
269		65.115.64.62		2007-11-26 17:51:35.3092
270		65.115.64.62		2007-11-26 17:52:30.948866
271		65.115.64.62		2007-11-26 17:53:18.90998
272		65.115.64.62		2007-11-26 17:54:14.176968
273		65.115.64.62		2007-11-26 17:55:04.324981
274		65.115.64.62		2007-11-26 17:55:52.586009
275		65.115.64.62		2007-11-26 17:56:42.210728
276		65.115.64.62		2007-11-26 17:57:30.391078
277		65.115.64.62		2007-11-26 17:58:15.762867
278		65.115.64.62		2007-11-26 18:12:19.947332
279		65.115.64.62		2007-11-26 18:13:05.955713
280		65.115.64.62		2007-11-26 18:24:25.066559
284		65.115.64.62		2007-11-26 19:27:59.271961
288		65.115.64.62		2007-11-26 19:31:04.094888
289		65.115.64.62		2007-11-26 19:31:51.724225
294		65.115.64.62		2007-11-26 19:35:49.521027
298		65.115.64.62		2007-11-26 19:40:08.836417
301		65.115.64.62		2007-11-26 19:42:36.230897
302		65.115.64.62		2007-11-26 19:48:04.25358
307		65.115.64.62		2007-11-26 19:52:35.63725
311		65.115.64.62		2007-11-26 20:24:55.399415
318		65.115.64.62		2007-11-26 20:36:20.733562
326		65.115.64.62		2007-11-26 20:46:28.135173
331		65.115.64.62		2007-11-26 20:50:37.309741
332		65.115.64.62		2007-11-26 20:51:22.812584
333		65.115.64.62		2007-11-26 20:52:10.215412
335		65.115.64.62		2007-11-26 20:53:56.442239
341		65.115.64.62		2007-11-26 20:58:58.550779
344		65.115.64.62		2007-11-26 21:01:28.279444
347		65.115.64.62		2007-11-26 21:08:25.981838
351		65.115.64.62		2007-11-26 21:16:02.48506
354		65.115.64.62		2007-11-26 21:18:54.852947
356		65.115.64.62		2007-11-26 21:20:46.187449
358		65.115.64.62		2007-11-26 21:22:38.104661
361		65.115.64.62		2007-11-26 21:24:46.597454
281		65.115.64.62		2007-11-26 18:26:04.569355
282		65.115.64.62		2007-11-26 19:25:29.723818
285		65.115.64.62		2007-11-26 19:28:44.413675
308		65.115.64.62		2007-11-26 20:15:33.783832
323		65.115.64.62		2007-11-26 20:43:51.130321
363		65.115.64.62		2007-11-26 21:26:25.593562
283		65.115.64.62		2007-11-26 19:26:18.377241
295		65.115.64.62		2007-11-26 19:36:35.44723
297		65.115.64.62		2007-11-26 19:38:57.937382
300		65.115.64.62		2007-11-26 19:41:54.919137
310		65.115.64.62		2007-11-26 20:23:47.328806
320		65.115.64.62		2007-11-26 20:37:41.86997
336		65.115.64.62		2007-11-26 20:54:38.669692
340		65.115.64.62		2007-11-26 20:57:50.907965
345		65.115.64.62		2007-11-26 21:02:16.396381
346		65.115.64.62		2007-11-26 21:07:42.092151
349		65.115.64.62		2007-11-26 21:09:59.671154
353		65.115.64.62		2007-11-26 21:17:52.572769
364		65.115.64.62		2007-11-26 21:27:10.812625
286		65.115.64.62		2007-11-26 19:29:27.224183
291		65.115.64.62		2007-11-26 19:33:38.477311
321		65.115.64.62		2007-11-26 20:41:52.411453
328		65.115.64.62		2007-11-26 20:48:09.690298
348		65.115.64.62		2007-11-26 21:09:03.813109
352		65.115.64.62		2007-11-26 21:16:56.652512
287		65.115.64.62		2007-11-26 19:30:15.325402
304		65.115.64.62		2007-11-26 19:50:01.514813
327		65.115.64.62		2007-11-26 20:47:28.818889
350		65.115.64.62		2007-11-26 21:10:46.947145
360		65.115.64.62		2007-11-26 21:24:04.227413
290		65.115.64.62		2007-11-26 19:32:38.571905
305		65.115.64.62		2007-11-26 19:50:51.153187
313		65.115.64.62		2007-11-26 20:27:19.634563
324		65.115.64.62		2007-11-26 20:44:46.721973
339		65.115.64.62		2007-11-26 20:57:24.226322
359		65.115.64.62		2007-11-26 21:23:17.615941
362		65.115.64.62		2007-11-26 21:25:28.092224
292		65.115.64.62		2007-11-26 19:34:25.102931
306		65.115.64.62		2007-11-26 19:51:41.562926
315		65.115.64.62		2007-11-26 20:31:25.909478
317		65.115.64.62		2007-11-26 20:35:42.368068
319		65.115.64.62		2007-11-26 20:36:54.12669
322		65.115.64.62		2007-11-26 20:42:58.726849
329		65.115.64.62		2007-11-26 20:49:01.826539
343		65.115.64.62		2007-11-26 21:00:49.806455
355		65.115.64.62		2007-11-26 21:19:43.617404
357		65.115.64.62		2007-11-26 21:21:47.736283
293		65.115.64.62		2007-11-26 19:35:03.95676
296		65.115.64.62		2007-11-26 19:38:23.098281
299		65.115.64.62		2007-11-26 19:41:04.254207
303		65.115.64.62		2007-11-26 19:48:48.413632
309		65.115.64.62		2007-11-26 20:16:33.238696
312		65.115.64.62		2007-11-26 20:25:48.083387
314		65.115.64.62		2007-11-26 20:29:47.584897
316		65.115.64.62		2007-11-26 20:34:39.899655
325		65.115.64.62		2007-11-26 20:45:38.471221
330		65.115.64.62		2007-11-26 20:49:51.454877
334		65.115.64.62		2007-11-26 20:52:58.701133
337		65.115.64.62		2007-11-26 20:55:26.295402
338		65.115.64.62		2007-11-26 20:56:34.319185
342		65.115.64.62		2007-11-26 21:00:03.29792
365	158.119.179.13	158.119.60.180	158.119.179.13	2007-11-27 15:01:19.652146
366	158.119.179.13	158.119.60.180	158.119.179.13	2007-11-27 15:02:58.89746
367	158.119.179.13	158.119.60.180	158.119.179.13	2007-11-27 15:04:23.292505
368		193.144.43.178		2007-11-28 10:26:38.469407
369		193.144.43.178		2007-11-28 10:27:30.213622
370		65.55.209.97		2007-11-28 15:34:41.065883
371		124.16.129.99		2007-11-29 04:43:55.986482
372		124.16.129.99		2007-11-29 04:44:43.172138
373	158.119.178.76	158.119.60.180	158.119.178.76	2007-11-29 13:00:41.212294
374	158.119.178.76	158.119.60.180	158.119.178.76	2007-11-29 13:01:08.594836
375		138.253.38.131		2007-11-30 12:09:05.3008
376		222.182.108.125		2007-12-02 23:20:42.113232
377	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-03 09:13:46.668416
378	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-03 09:15:08.622723
379		65.115.64.62		2007-12-03 21:30:26.783478
380		80.243.81.216		2007-12-03 22:12:10.719327
381		134.95.36.231		2007-12-04 08:02:31.329127
382		134.95.36.231		2007-12-04 08:03:14.18444
383	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 10:30:13.811622
384	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 10:30:46.583563
385	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 10:32:31.531595
386	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 10:34:18.716283
387	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 10:34:46.581805
388	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 10:35:25.319961
389	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 14:09:08.052385
390	10.21.102.49	193.164.0.53	10.21.102.49	2007-12-04 14:09:11.231701
391		65.115.64.62		2007-12-04 15:07:41.869551
392	10.148.128.4	194.176.105.43	10.148.128.4	2007-12-04 16:01:57.66616
393	10.148.128.4	194.176.105.43	10.148.128.4	2007-12-04 16:02:52.656273
394		65.115.64.62		2007-12-04 18:10:24.952761
395		65.115.64.62		2007-12-04 18:11:06.114713
396		65.115.64.62		2007-12-04 18:19:54.906321
397		65.115.64.62		2007-12-04 19:53:05.569956
398		65.115.64.62		2007-12-04 20:29:20.247858
399		65.115.64.62		2007-12-04 20:33:16.873924
400		65.115.64.62		2007-12-04 20:34:31.345954
401		65.115.64.62		2007-12-04 20:35:27.960774
402		65.115.64.62		2007-12-04 20:38:51.589542
403		65.115.64.62		2007-12-04 20:46:55.314646
404		65.115.64.62		2007-12-04 20:48:29.731096
405		65.115.64.62		2007-12-04 20:49:31.216203
406		65.115.64.62		2007-12-04 20:50:24.824903
407		65.115.64.62		2007-12-04 20:52:16.893236
408		65.115.64.62		2007-12-04 20:53:14.574259
409		65.115.64.62		2007-12-04 20:54:04.913676
410		65.115.64.62		2007-12-04 20:55:53.806549
411		65.115.64.62		2007-12-04 21:03:18.978604
412		65.115.64.62		2007-12-04 21:04:30.622899
413		65.115.64.62		2007-12-04 21:05:38.739596
414		65.115.64.62		2007-12-04 21:06:41.373158
415		65.115.64.62		2007-12-04 21:07:55.211569
416		65.115.64.62		2007-12-04 21:09:31.831922
417		65.115.64.62		2007-12-04 21:10:45.913301
418		65.115.64.62		2007-12-04 21:11:46.555501
419		65.115.64.62		2007-12-04 21:12:37.456556
420		65.115.64.62		2007-12-04 21:14:14.450576
421		65.115.64.62		2007-12-04 21:15:15.60144
422		65.115.64.62		2007-12-04 21:16:16.621171
